text,label
possible explosion due to gass,Gas Leak
strong earth quake felt quickly,Earthquake
possible gas leak,Gas Leak
bro help us rescue immediately,Flood
residents evacuated due to gass,Gas Leak
please village affected by landslide,Landslide
urgent rain water entering house,Flood
please! major accident save us,Road Accident
urgent children inside during gas leak,Gas Leak
strong smell of gas inside house immediately,Gas Leak
gass leak after cylinder burst,Gas Leak
cannot stand properly now,Earthquake
gass emergency,Gas Leak
help fast! building shaking,Earthquake
quick danger of complete collapse,Building Collapse
everyone is scared,Storm
current coming through water now,Electrical Hazard
need electricity department save me,Electrical Hazard
madam sewer water mixed with flood please,Flood
gas spreading throughout house save me,Gas Leak
animals trapped in flood now,Flood
electric poles have fallen immediately,Storm
madam lights are swinging,Earthquake
bro high-speed accident,Road Accident
medicine overdose,Medical
natural disaster landslide,Landslide
help construction building collapsed,Building Collapse
save trapped people save us,Landslide
emergency building collapse please,Building Collapse
high voltage wire down,Electrical Hazard
urgent need immediate evacuation,Landslide
bro very strong winds outside quickly,Storm
save the patient save me,Medical
live wire near hospital save me,Electrical Hazard
office building shaking immediately,Earthquake
building shaking badly save me,Earthquake
river overflowed save us,Flood
fast road completely submerged,Flood
fast building damaged by wind,Storm
quick accident happened just now,Road Accident
please collapsedd structure blocking road,Building Collapse
immediate electrical assistance needed save me,Electrical Hazard
accident due to heavy rain save me,Road Accident
please need electricity department,Electrical Hazard
my father fainted fast,Medical
flying debris everywhere save me,Storm
help objects falling down,Earthquake
our belongings are floating,Flood
pls building tilted slightly please,Earthquake
possible heart attack quickly,Medical
urgent furniture shaking quickly,Earthquake
sewer water mixed with floods,Flood
someone help! floods water entered our bedroom,Flood
sir cars damaged by trees,Storm
bridge damaged after earth moving save us,Earthquake
flying debris everywhere,Storm
urgent please send medical team,Medical
help! heavy heavy wind,Storm
building shaking and collapsing now,Building Collapse
emergency industrial gas leak,Gas Leak
madam people trapped inside building please,Fire
madam emergency! major accident,Road Accident
school building collapsed,Building Collapse
urgent school building shaking save us,Earthquake
need help immediately! landslide now,Landslide
continuous rain causing floods,Flood
save trapped people,Landslide
building shaking and collapsing quickly,Building Collapse
help building failure occurred,Building Collapse
madam everyone is scared,Storm
bridge damaged by storm,Storm
bro accident victim needs medical help,Medical
ambulans needed immediately,Road Accident
lift trapped after collapse now,Building Collapse
our apartment is burning save me,Fire
need evacuation immediately fast,Flood
emergency! road accident quickly,Road Accident
need evacuation immediately please,Flood
quick the ground is shaking,Earthquake
cannot go outside because of flood quickly,Flood
please fuel leaking from vehicle immediately,Road Accident
help house floded during cyclone,Storm
please someone help! electric shock immediately,Electrical Hazard
please continuous rain causing flood,Flood
please send rescue teams,Earthquake
roof caught fire,Fire
need electricity department,Electrical Hazard
furniture shaking please,Earthquake
madam emergency gas leak save me,Gas Leak
everything is shaking quickly,Earthquake
madam roof caught fire,Fire
help house developed huge cracks,Earthquake
traffic stopped because of accident,Road Accident
burning smell everywhere quickly,Fire
please people trapped after earthquake,Earthquake
help ac unit caught fire,Fire
fire in neighbour house save us,Fire
pls house wiring problem,Electrical Hazard
bus fell into canal quickly,Road Accident
fast high fever and unconscious,Medical
madam shopping mall caught fire,Fire
animals trapped in floods save me,Flood
pls possible stroke save us,Medical
cracks appeared on wall,Earthquake
emergency internet cables snapped,Storm
quick help us before explosion,Gas Leak
need help immediately! house collapsed,Building Collapse
pls gaas smell becoming stronger,Gas Leak
stairs are damaged please,Earthquake
fast power line broken,Electrical Hazard
person had a seizure now,Medical
gass leakage detected,Gas Leak
sir children injured in accident save me,Road Accident
urgent vehicle caught fie after crash,Road Accident
cannot breathe because of smke please,Fire
pls collapsed structure blocking road,Building Collapse
sir electricity leaking,Electrical Hazard
please smoke everywhere save us,Fire
heavy rain flooed our street,Flood
emergency people evacuated from village,Storm
gass leaking continuously,Gas Leak
our building is unsafe save us,Earthquake
strong lpg smell from kitchen,Gas Leak
ceiling is cracking now,Earthquake
pls everyone evacuated building,Earthquake
fast possible stroke,Medical
ceiling is cracking quickly,Earthquake
quick our office is on fire,Fire
wire sparking,Electrical Hazard
danger of complete fall down,Building Collapse
gas is coming from the stove,Gas Leak
house caught fie,Fire
emergency! building building felld save me,Building Collapse
everyone is scared fast,Storm
pls driver unconscious after accident immediately,Road Accident
emergency our house is breaking apart,Building Collapse
sir help us rescue immediately,Flood
huge boulders on road,Landslide
fall downd structure blocking road save me,Building Collapse
urgent transformer exploded save us,Electrical Hazard
old building collapsed,Building Collapse
gaas leak in factory,Gas Leak
emergency thick smoke coming out,Fire
tree fell on our house now,Storm
save us! patient sick emergency,Medical
burning smell everywhere please,Fire
help building collapsed after heavy rain,Building Collapse
please rescue team required,Road Accident
urgent roof is cracking,Earthquake
bro everyone evacuated because of gas,Gas Leak
sir road blocked by landslide,Landslide
emergency save me! medical emergency,Medical
our building is unsafe save me,Building Collapse
school caught fire,Fire
elderly person collapsedd,Medical
industrial gaas leak fast,Gas Leak
urgent electrical emergency,Electrical Hazard
fast please help! current leakage,Electrical Hazard
strong earth moving felt now,Earthquake
electricity gone after cyclone fast,Storm
electrical disaster quickly,Electrical Hazard
strong lpg smell from kitchen fast,Gas Leak
huge landslide occurred immediately,Landslide
help us before explosion save me,Gas Leak
live wire on the road please,Electrical Hazard
gas leaking from pipeline please,Gas Leak
heavy bleeding after accident save us,Road Accident
save us! electric shock fast,Electrical Hazard
sir huge boulders on road,Landslide
emergency live wire near school,Electrical Hazard
electric meter burning,Electrical Hazard
urgent everyone is scared,Storm
someone help! fire in my hospital,Fire
child is unconscious now,Medical
please building about to collapse,Building Collapse
pls food poisoning suspected,Medical
bro office building collapsed,Building Collapse
help transformer exploded immediately,Electrical Hazard
building collapsed after heavy rain,Building Collapse
generator caught fir,Electrical Hazard
landslide after heavy rainfall,Landslide
building caught fir,Fire
vehicle caught fie after crash,Road Accident
child touched live wire quickly,Electrical Hazard
family trapped inside collapsed house immediately,Building Collapse
bro roads blocked because of flod save me,Flood
kitchen full of smoke now,Fire
earthquake just happened now,Earthquake
please quick! building shaking,Earthquake
quick drains overflowing,Flood
emergency children crying due to flod save me,Flood
apartment building fall downd immediately,Building Collapse
quick cyclone warning issued quickly,Storm
emergency roof caught fie,Fire
house developed huge cracks please,Earthquake
quick roof caught fire,Fire
madam cannot stop the gass leak,Gas Leak
gass detected in basement,Gas Leak
bro natural disaster landslide,Landslide
sir electricity gone after cyclone,Storm
the whole area is shaking,Earthquake
houses collapsing due to landslide immediately,Landslide
water reached roof level please,Flood
urgent cannot reach trapped people,Building Collapse
emergency need first aid immediately quickly,Medical
emergency our village is badly affected,Storm
pls gas regulator is leaking,Gas Leak
wire touching the ground,Electrical Hazard
help office electrical emergency,Electrical Hazard
quick car accident on the highway,Road Accident
thick smkoe coming out,Fire
accident on bridge,Road Accident
fast urgent! current leakage,Electrical Hazard
please kitchen filled with gas smell,Gas Leak
accident due to fog quickly,Road Accident
pls cyclone has reached our area,Storm
gas leak caused fir,Fire
sir help electric shock save me,Electrical Hazard
pls people evacuated from village,Storm
industrial gas leak save me,Gas Leak
building collapsed after earthquake please,Building Collapse
quick many people injured after collapse,Building Collapse
strom is getting worse,Storm
sir large rocks on road,Landslide
gass smell becoming stronger save us,Gas Leak
industrial gaas leak,Gas Leak
person trapped under vehicle now,Road Accident
houses collapsing due to landslide,Landslide
office building fall downd,Building Collapse
children trapped inside burning house,Fire
everything is shaking,Earthquake
sir toxic gas smell,Gas Leak
save us! major accident,Road Accident
fast fan shaking violently,Earthquake
madam building may collapse,Earthquake
wire sparking save me,Electrical Hazard
emergency! heavy storm,Storm
madam earth sliding down,Landslide
live wire on the road,Electrical Hazard
pls curtains caught fire,Fire
pls hospital building shaking,Earthquake
pls the whole area is shaking save us,Earthquake
vehicle caught fire after crash fast,Road Accident
heavy debris blocking road quickly,Landslide
earth is moving immediately,Earthquake
hailwind storm damaged vehicles save me,Storm
quick people trapped under debris,Building Collapse
road blocked by landslide immediately,Landslide
quick rescue team needed immediately,Building Collapse
please residents trapped,Landslide
emergency continuous rain causing flood,Flood
fast! strong gas smell,Gas Leak
road is completely flooded,Flood
tree fell on our house quickly,Storm
pls road disappeared under water,Flood
cupboard fell please,Earthquake
fast tree fell on our house,Storm
houses buried in mud,Landslide
bed caught fire quickly,Fire
power line broken fast,Electrical Hazard
water reached roof level quickly,Flood
madam help! landslide,Landslide
please help! house collapsed,Building Collapse
please trees falling continuously,Storm
save us! earth shaking,Earthquake
gaas leak near hospital save us,Gas Leak
fast school building collapsed,Building Collapse
quick cyclone has reached our area,Storm
transformer exploded save us,Electrical Hazard
please children crying due to flood,Flood
person trapped under vehicle,Road Accident
urgent large rocks on road now,Landslide
urgent truck lost control fast,Road Accident
ac unit caught fie fast,Fire
madam several people injured,Road Accident
quick building failure occurred,Building Collapse
please roads blocked because of flood,Flood
bro our house is under water,Flood
madam building shaking badly,Earthquake
wire touching the ground save me,Electrical Hazard
bro kitchen caught fire,Fire
live cable exposed save me,Electrical Hazard
huge flames in shop save me,Fire
possible explosion due to gas immediately,Gas Leak
sir person trapped and injured,Medical
roof caught fie,Fire
heavy bleeding after accident,Road Accident
help! fire in my factory,Fire
help storm water flooded road,Flood
huge cracks in the building,Building Collapse
help dangerous gas smell,Gas Leak
need help immediately! house fall downd,Building Collapse
help help electric shock,Electrical Hazard
person trapped and injured fast,Medical
building disaster immediately,Building Collapse
sir our area has no electricity immediately,Storm
accident happened just now,Road Accident
main entrance blocked by debris,Building Collapse
shopping mall fall downd,Building Collapse
emergency! earth quack,Earthquake
child touched live wire,Electrical Hazard
gass leak near restaurant,Gas Leak
huge landslide occurred,Landslide
water level is rising quickly,Flood
our ceiling is burning,Fire
quick save the accident victims,Road Accident
high voltage wire down now,Electrical Hazard
urgent danger of another landslide,Landslide
fast emergency gaas leak,Gas Leak
truck lost control now,Road Accident
please fire after explosion,Fire
help children trapped under collapsed building,Building Collapse
our colony is flooed,Flood
help huge boulders on road,Landslide
madam glass shattered everywhere,Road Accident
help building shaking badly,Earthquake
sir need oxygen immediately,Medical
sir electrical disaster,Electrical Hazard
restaurant kitchen caught fire now,Fire
quick need oxygen immediately,Medical
madam vehicle caught fire after crash,Road Accident
help rescue teams required,Landslide
toxic gas smell fast,Gas Leak
wind storm water flooed road,Flood
windows shattered due to wind save us,Storm
emergency our house is under water now,Flood
person received electric shock save us,Electrical Hazard
electric short circuit,Electrical Hazard
difficulty in breathing now,Medical
family trapped inside building felld house fast,Building Collapse
passengers injured please,Road Accident
sir gaas leak in apartment,Gas Leak
please! gas leak in the kitchen,Gas Leak
quick water reached waist level please,Flood
please! earthquake immediately,Earthquake
kitchen full of smok save us,Fire
blood pressure very low save us,Medical
quick landslide getting worse,Landslide
fast head injury after fall,Medical
emergency! gas leak in the kitchen save me,Gas Leak
gas cylinder exploded,Fire
pls gass leaking from pipeline save us,Gas Leak
help communication lost after storm,Storm
madam road blocked by collapsed building,Building Collapse
fast children trapped in flod,Flood
help people stranded on rooftop fast,Flood
smkoe everywhere immediately,Fire
help factory electrical accident,Electrical Hazard
madam road blocked by collapsed building please,Building Collapse
power outage after explosion fast,Electrical Hazard
rescue team required immediately,Road Accident
houses damaged by cyclone immediately,Storm
help power line broken,Electrical Hazard
houses damaged by falling rocks save me,Landslide
need oxygen immediately,Medical
bro kitchen filled with gas smell,Gas Leak
fan shaking violently please,Earthquake
gas spreading throughout house,Gas Leak
pls live cable exposed,Electrical Hazard
bridge collapsed due to flood,Flood
sir roof collapsed suddenly,Building Collapse
someone help! building shaking,Earthquake
lights are swinging,Earthquake
help us rescue immediately,Flood
fir reached second floor now,Fire
sir cannot breathe because of smoke,Fire
sir help us after cyclone save me,Storm
sir family trapped in landslide,Landslide
gass smell becoming stronger,Gas Leak
children crying due to flod now,Flood
mountain collapsed,Landslide
shopping mall caught fie,Fire
emergency save us! need ambulence,Medical
ambulance has not arrived,Medical
ceiling is falling quickly,Building Collapse
sir electricity gone after cyclone immediately,Storm
burning smell from switchboard fast,Electrical Hazard
gas regulator is leaking save me,Gas Leak
heart patient collapsed now,Medical
houses damaged by falling rocks immediately,Landslide
people trapped after earthquake now,Earthquake
fast internet cables snapped,Storm
road completely blocked now,Road Accident
heavy smkoe from building,Fire
fast! major accident,Road Accident
school building caught fire immediately,Fire
pls gass leak near warehouse,Gas Leak
tree blocking the road please,Storm
pls power cable broken,Electrical Hazard
please help building may collapse immediately,Earthquake
emergency food poisoning suspected fast,Medical
heart patient collapsed please,Medical
madam building collapsed after heavy rain,Building Collapse
forest firee nearby,Fire
rocks falling from hill fast,Landslide
fast petrol bunk caught fire quickly,Fire
everything is burning now,Fire
quick factory electrical accident,Electrical Hazard
the ground is shaking fast,Earthquake
need rescue after earthshake,Earthquake
road completely blocked immediately,Road Accident
live wire on the road quickly,Electrical Hazard
accident due to heavy rain,Road Accident
possible heart attack immediately,Medical
our shop is burning immediately,Fire
emergency house is completely flooded,Flood
cannot come out because building collapsedd,Building Collapse
people missing after landslide,Landslide
urgent our house is breaking apart,Building Collapse
storm water floded road save me,Flood
our colony is floodsed,Flood
sir road disappeared due to landslide,Landslide
fast building shaking and collapsing,Building Collapse
madam people waiting for rescue immediately,Flood
strong water current outside fast,Flood
gas detected in basement,Gas Leak
urgent strong lpg smell from kitchen,Gas Leak
plastic burning smell please,Fire
need help gaas leak,Gas Leak
help emergency road accident,Road Accident
my mother collapsedd,Medical
emergency people injured in landslide save us,Landslide
houses buried in mud please,Landslide
urgent vehicles washed away quickly,Flood
bro our building is unsafe,Building Collapse
help! flood water entered our road,Flood
telephone poles building felld,Storm
please cars damaged by trees,Storm
fast multiple injured people save us,Medical
building about to collapsed now,Building Collapse
everyone evacuated because of gaas immediately,Gas Leak
bro school surrounded by water,Flood
fast many residents trapped,Building Collapse
sir live wire near school now,Electrical Hazard
someone help! building collapsed,Building Collapse
tree fell on our house immediately,Storm
water reached waist level save us,Flood
electric poles inside flood water fast,Flood
emergency gas is coming from the stove,Gas Leak
emergency heavy rain caused landslide,Landslide
old building collapsed save me,Building Collapse
someone help! heavy strom save us,Storm
road cracked after earthquake,Earthquake
gass leak in office pantry,Gas Leak
cannot breathe because of smkoe,Fire
emergency patient lost consciousness,Medical
need evacuation immediately save me,Flood
bro electric pole has fallen,Electrical Hazard
emergency people stranded on rooftop please,Flood
fast person is not breathing,Medical
quick heavy debris blocking road,Landslide
please dust everywhere after collapse save me,Building Collapse
mountain road fall downd save me,Landslide
our area has no electricity immediately,Storm
madam emergency gas leak,Gas Leak
please send emergency team please,Gas Leak
sewer water mixed with floo,Flood
madam severe allergic reaction immediately,Medical
kitchen unsafe because of gas please,Gas Leak
village affected by landslide fast,Landslide
quick severe allergic reaction,Medical
building failure occurred please,Building Collapse
urgent broken leg after fall,Medical
fast heavy tremors felt,Earthquake
fast current coming through water,Electrical Hazard
fast multiple injured people save me,Medical
gaas alarm is ringing,Gas Leak
wall fall downd,Building Collapse
need help immediately! electric shock,Electrical Hazard
pls help people trapped,Building Collapse
madam please! major accident save us,Road Accident
gass cylinder is leaking fast,Gas Leak
roof leaking badly,Storm
severe allergic reaction save me,Medical
help! road accident,Road Accident
chemical smell inside building immediately,Gas Leak
pls hissing sound from gas cylinder,Gas Leak
roof collapsedd suddenly,Building Collapse
bro mud entered our house,Landslide
tree blocking the road,Storm
please roads blocked by fallen trees immediately,Storm
urgent vehicle caught firee after crash save me,Road Accident
electric wire fell on vehicle,Electrical Hazard
urgent passengers injured,Road Accident
pls mountain collapsed,Landslide
help need first aid immediately,Medical
bro road disappeared under water save me,Flood
drains overflowing fast,Flood
heart patient fall downd,Medical
emergency please send rescue teams,Earthquake
please our apartment is shaking,Earthquake
help road full of damaged vehicles,Road Accident
bro the whole area is shaking save us,Earthquake
help! earthquake,Earthquake
bro possible heart attack,Medical
please! heavy storm,Storm
hospital ward caught fir,Fire
help ceiling building felld,Building Collapse
cannot reach trapped people save us,Building Collapse
huge flames in house,Fire
please office building shaking,Earthquake
children trapped under collapsed building now,Building Collapse
heavy bleeding immediately,Medical
please generator caught fire,Electrical Hazard
broken arm after accident,Medical
water entered ground floor fast,Flood
emergency gass leak now,Gas Leak
person having severe pain,Medical
people running outside save me,Earthquake
need help immediately! need ambulance,Medical
our house is breaking apart please,Building Collapse
sir apartment building building felld,Building Collapse
pls serious head injury,Medical
urgent gas leak after cylinder burst save us,Gas Leak
water reached roof level,Flood
serious road accident now,Road Accident
urgent need oxygen immediately,Medical
kitchen filled with gas smell save me,Gas Leak
bro storm water flooded road,Flood
strong earth quack felt save us,Earthquake
shopping mall caught fir,Fire
help people stranded on rooftop,Flood
kitchen unsafe because of gas save us,Gas Leak
fast building collapsedd after earth quake,Building Collapse
patient is bleeding heavily quickly,Medical
fast electric meter burning,Electrical Hazard
storm water entered house,Storm
madam tree fell on our house now,Storm
pls save me! firee in my railway station,Fire
hailwind storm damaged vehicles fast,Storm
cars floating in water now,Flood
pls save us! house collapsed,Building Collapse
urgent passengers injured fast,Road Accident
emergency electrical accident occurred,Electrical Hazard
people stranded on rooftop immediately,Flood
our area has no electricity,Storm
snake bite emergency save us,Medical
bro high speed winds everywhere,Storm
people evacuated from village please,Storm
quick electric pole has fallen,Electrical Hazard
sir child touched live wire,Electrical Hazard
current coming through water please,Electrical Hazard
bridge damaged after earth quake immediately,Earthquake
urgent huge flames in factory,Fire
please accident victim needs medical help,Medical
need food and water save me,Flood
shopping mall caught firee,Fire
please our apartment basement flooded,Flood
people trapped inside building save us,Fire
emergency debris everywhere,Building Collapse
pls children trapped in floo now,Flood
many vehicles stranded,Landslide
please heavy debris blocking road,Landslide
fast people injured by electric shock,Electrical Hazard
fast sofa caught fie,Fire
urgent! strong gass smell,Gas Leak
people trapped after earthquake immediately,Earthquake
pls danger due to exposed wire,Electrical Hazard
truck caught fire save me,Fire
severe allergic reaction now,Medical
wall building felld,Building Collapse
houses damaged by falling rocks quickly,Landslide
hospital ward caught fie please,Fire
help please! current leakage quickly,Electrical Hazard
urgent driver unconscious after accident,Road Accident
rocks covering highway save us,Landslide
gas detected in basement quickly,Gas Leak
people trapped after storm,Storm
sir patient is bleeding heavily now,Medical
save the accident victims,Road Accident
rocks falling from hill,Landslide
everything is burning quickly,Fire
bro sofa caught fire,Fire
help hospital building shaking,Earthquake
pls road washed away,Landslide
please help! earthquake,Earthquake
bro bridge partially fall downd save us,Building Collapse
people feeling dizzy because of gas,Gas Leak
madam staircase collapsed,Building Collapse
please house developed huge cracks please,Earthquake
madam people trapped after landslide,Landslide
fire reached second floor,Fire
emergency vehicle caught frie after crash,Road Accident
rescue team needed immediately save us,Building Collapse
please! strong gas smell,Gas Leak
water entered first floor immediately,Flood
rescue team required,Road Accident
urgent firee spreading quickly,Fire
gas leak near hospital save us,Gas Leak
gas cylinder exploded now,Fire
madam television fell down,Earthquake
shopping mall caught fie please,Fire
strom water entered house,Storm
sir restaurant caught fire,Fire
quick cylinder valve is leaking,Gas Leak
bro electric panel smoking,Electrical Hazard
elderly person building felld please,Medical
sewer water mixed with flood,Flood
bro bridge damaged by landslide,Landslide
family trapped inside home fast,Flood
cannot go outside because of flod quickly,Flood
madam bridge damaged by landslide,Landslide
fast fast! landslide,Landslide
houses damaged by cyclone save us,Storm
madam dust everywhere after fall down,Building Collapse
sir need immediate evacuation,Landslide
fast vehicle overturned,Road Accident
please electrical disaster,Electrical Hazard
emergency emergency gass leak,Gas Leak
fast power line broken fast,Electrical Hazard
emergency gaas leak,Gas Leak
huge landslide occurred save us,Landslide
please house flooded during cyclone,Storm
pls road washed away now,Landslide
electricity leaking immediately,Electrical Hazard
bro woman fainted suddenly,Medical
uncontrolled vomiting,Medical
emergency! flood water entered our school,Flood
electric meter burning now,Electrical Hazard
bro we climbed to terrace quickly,Flood
uncontrolled vomiting now,Medical
urgent traffic stopped because of accident,Road Accident
gas alarm is ringing quickly,Gas Leak
bro our apartment is burning,Fire
bro cannot go outside because of flod,Flood
live wire near hospital,Electrical Hazard
building is completely flooed,Flood
please food poisoning suspected now,Medical
medicine overdose fast,Medical
sir telephone poles collapsed,Storm
heavy smoke from restaurant now,Fire
madam we climbed to terrace,Flood
emergency gass leak,Gas Leak
bridge partially building felld,Building Collapse
danger due to exposed wire,Electrical Hazard
lorry accident fast,Road Accident
patient is not responding fast,Medical
urgent! need ambulance,Medical
sir everyone evacuated because of gas quickly,Gas Leak
pls electric board caught fir now,Fire
bro boats needed immediately,Flood
entire area under water,Flood
bro need evacuation immediately,Flood
roof leaking badly immediately,Storm
part of the building collapsed please,Building Collapse
sir critical health emergency emergency,Medical
pls two cars crashed,Road Accident
car is burning please,Fire
pls accident near railway crossing,Road Accident
fast pole may fall,Electrical Hazard
glass shattered everywhere save me,Road Accident
strom damaged our house,Storm
emergency! health emergency emergency,Medical
quick water entered ground floor,Flood
gaas leakage detected,Gas Leak
need immediate evacuation save me,Landslide
bro help electric shock,Electrical Hazard
urgent need electricity department,Electrical Hazard
bro save me! my garage is burning,Fire
house floded during cyclone,Storm
fast people injured by electric shock immediately,Electrical Hazard
help transformer exploded,Fire
emergency power line broken,Electrical Hazard
head injury after fall,Medical
hospital building shaking,Earthquake
please road completely submerged,Flood
heavy smoke from school,Fire
sir electric poles have fallen save me,Storm
sir petrol bunk caught fire,Fire
storm is getting worse save me,Storm
children trapped under collapsed building please,Building Collapse
help cars damaged by trees,Storm
ceiling is cracking fast,Earthquake
fast difficulty breathing due to gas,Gas Leak
huge flames in street quickly,Fire
urgent child touched live wire quickly,Electrical Hazard
quick accident due to fog,Road Accident
house floodsed during cyclone,Storm
old building fall downd fast,Building Collapse
need ambulance urgently,Medical
please people trapped after storm,Storm
shops floded,Flood
fast stairs are damaged,Earthquake
sir cannot cross because of landslide,Landslide
please send medical team,Medical
quick house wiring problem,Electrical Hazard
bike skid on road quickly,Road Accident
quick electrical short circuit caused fire immediately,Fire
head injury after fall quickly,Medical
fan shaking violently now,Earthquake
roads completely blocked now,Storm
fir spreading quickly,Fire
need rescue after earthquake immediately,Earthquake
sir school building caught fire,Fire
accident near traffic signal,Road Accident
warehouse caught frie,Fire
children trapped under fall downd building,Building Collapse
immediate electrical assistance needed save us,Electrical Hazard
roof flew away now,Storm
save the patient quickly,Medical
forest fir nearby,Fire
our house is breaking apart,Building Collapse
help emergency due to cyclone,Storm
please blood pressure very low save us,Medical
sir uncontrolled vomiting,Medical
madam electrical frie started,Electrical Hazard
family trapped inside collapsed house,Building Collapse
bro water reached waist level,Flood
bike skid on road fast,Road Accident
possible explosion due to gas quickly,Gas Leak
warehouse caught fire,Fire
fast driver unconscious after accident,Road Accident
difficulty breathing due to gass,Gas Leak
gass is coming from the stove,Gas Leak
please high speed winds everywhere immediately,Storm
possible gass leak,Gas Leak
please please! medical emergency now,Medical
water reached waist level now,Flood
emergency need emergency shelter,Storm
people trapped inside building quickly,Fire
office is completely floded,Flood
our apartment is burning immediately,Fire
fast power lines are down save me,Storm
help us after cyclone save us,Storm
people stranded on rooftop now,Flood
accident on bridge now,Road Accident
emergency! current leakage,Electrical Hazard
balcony collapsed,Building Collapse
madam people feeling dizzy because of gas,Gas Leak
bro bike is burning fast,Fire
my mother collapsed fast,Medical
building shaking badly,Earthquake
concrete fell from roof save me,Building Collapse
sir toxic gaas smell,Gas Leak
please save the patient,Medical
gas smell everywhere now,Gas Leak
madam accident near railway crossing,Road Accident
high-speed accident,Road Accident
help flying debris everywhere,Storm
petrol bunk caught fire save me,Fire
please school building shaking,Earthquake
house wiring problem,Electrical Hazard
please send fire brigade quickly,Fire
urgent plastic burning smell now,Fire
accident happened just now immediately,Road Accident
help high voltage emergency,Electrical Hazard
burn injuries need treatment save us,Medical
gass spreading throughout house,Gas Leak
people evacuated from village save me,Storm
madam rocks falling from hill,Landslide
emergency child is unconscious,Medical
suspected gas cylinder failure,Gas Leak
pls high speed winds everywhere,Storm
ceiling collapsed,Building Collapse
quick! road accident,Road Accident
head injury after fall save me,Medical
kitchen unsafe because of gas save me,Gas Leak
person is not breathing quickly,Medical
madam gaas leaking continuously,Gas Leak
help possible explosion due to gaas,Gas Leak
emergency possible gas leak now,Gas Leak
emergency river overflowed quickly,Flood
quick gaas smell becoming stronger,Gas Leak
help! heavy storm fast,Storm
sir earth sliding down,Landslide
bridge damaged after earthshake fast,Earthquake
warehouse caught fire fast,Fire
storm is getting worse fast,Storm
bro uncontrolled vomiting,Medical
emergency mud entered our house,Landslide
gas alarm is ringing immediately,Gas Leak
please cupboard fell,Earthquake
please suspected gas cylinder failure,Gas Leak
urgent! heavy strom,Storm
school building caught fire please,Fire
bro it feels like an earthquake save me,Earthquake
live cable exposed quickly,Electrical Hazard
madam roads blocked because of flood,Flood
urgent! need ambulans,Medical
windows shattered due to wind,Storm
lightning struck nearby fast,Storm
please bridge damaged by storm,Storm
pls snake bite emergency,Medical
animals trapped in floods,Flood
people trapped after landslide save me,Landslide
fast accident near traffic signal please,Road Accident
bro flying debris everywhere,Storm
children trapped under collapsedd building,Building Collapse
please the ground is shaking,Earthquake
continuous rain causing flood,Flood
wind storm water flooded road,Flood
telephone poles collapsed save me,Storm
please hissing sound from gas cylinder,Gas Leak
cannot stand properly,Earthquake
cannot breath properly please,Medical
landslide after heavy rainfall fast,Landslide
water reached waist level,Flood
fast broken leg after fall,Medical
madam our belongings are floating save us,Flood
bro electric wire fell on vehicle,Electrical Hazard
urgent person had a seizure,Medical
urgent building fall downd after earthquake,Building Collapse
earth sliding down now,Landslide
children trapped under collapsed building quickly,Building Collapse
someone help! fire in my railway station,Fire
shopping mall caught fire fast,Fire
cyclist hit by vehicle save me,Road Accident
electric poles have fallen,Storm
road cracked after earth quack,Earthquake
sir boats needed immediately,Flood
quick someone is unconscious quickly,Medical
save the patient,Medical
sofa caught firee,Fire
road completely blocked please,Landslide
emergency heavy bleeding,Medical
pls heavy bleeding save me,Medical
urgent! building shaking,Earthquake
quick wire sparking,Electrical Hazard
accident near railway crossing save me,Road Accident
please power cable broken,Electrical Hazard
sir heavy tremors felt,Earthquake
urgent emergency due to cyclone,Storm
bike accident near the junction,Road Accident
someone is unconscious,Medical
cyclist hit by vehicle please,Road Accident
staircase collapsed please,Building Collapse
cannot stand properly save us,Earthquake
emergency roads completely blocked save me,Storm
quick mountain disaster,Landslide
sir huge landslide occurred,Landslide
people trapped after earthquake quickly,Earthquake
urgent truck caught fire,Fire
sir passengers injured,Road Accident
major collision,Road Accident
emergency several people injured fast,Road Accident
building collapsed after earth quake,Building Collapse
road caught fire,Fire
quick do not know where current is coming from,Electrical Hazard
urgent tree fell on our house immediately,Storm
building fall downd after heavy rain,Building Collapse
quick patient unable to speak,Medical
accident near railway crossing fast,Road Accident
strong earthquake felt please,Earthquake
emergency due to cyclone save me,Storm
sir high voltage wire down,Electrical Hazard
fast bridge is underwater,Flood
urgent cannot move the injured,Road Accident
roof building felld suddenly,Building Collapse
person received electric shock,Electrical Hazard
communication lost after wind storm save us,Storm
driver unconscious after accident immediately,Road Accident
do not know where current is coming from,Electrical Hazard
please pole may fall,Electrical Hazard
gaas leak in office pantry save me,Gas Leak
sir road blocked by building felld building quickly,Building Collapse
urgent need help immediately! house collapsed,Building Collapse
electric poles inside floo water,Flood
school surrounded by water save us,Flood
patient cannot walk fast,Medical
quick our apartment is burning,Fire
residents evacuated due to gas now,Gas Leak
road blocked by collapsedd building,Building Collapse
windows shattered due to wind save me,Storm
help building may collapse fast,Earthquake
need rescue after cyclone quickly,Storm
people running outside fast,Earthquake
madam passengers injured,Road Accident
car accident on the highway immediately,Road Accident
madam power line snapped quickly,Electrical Hazard
bro roof flew away save us,Storm
emergency gas spreading throughout house fast,Gas Leak
need help immediately! building collapsed,Building Collapse
fast passengers injured,Road Accident
landslide getting worse,Landslide
please help! earthshake,Earthquake
emergency! house collapsed,Building Collapse
